id,STATUS,INTERVIEW_START,intvwdate,XCHANNEL,EVERINBOUND,S1,D1,STATE1,STATEEXPMEDI,GVNREXPMEDI,STATEGVNR,STATE2024VOTE,QUOTAGROUP,age,AGE2,AGETOT,recage,recage2,recage3,recage4,recage5,recage6,Q1_A,Q1_B,Q1_C,Q1_D,Q1_E,COVERAGE,COVTYPE,agecov,agecovtype,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q3_E,Q3_F,Q4_A,Q4_B,Q4_C,Q4_D,Q4_E,Q14,RVOTE,Q5_A,Q5_B,Q5_C,Q6_A,Q6_B,Q6_C,Q7,Q16,Q17,Q18,Q19,Q23_A,Q23_B,Q23_C,Q23_D,Q15_A,Q15_B,Q15_C,Q20,Q21,Q22_A,Q22_B,Q22_C,Q22_D,EVOTE,PVOTE,PARTY,PARTYLEAN,party3,party5,MAGA1,MAHA1,Q10_1_OTHER_code1,Q9,Q11_A,Q11_B,Q11_C,Q11_D,Q11_E,Q11_NUM,Q12,TOP_PRIORITY,Q13,RGENDER,GENDER,gendervar,LGBQ,LGBT_TOT,EDUC,receduc,receduc2,receduc3,receduc4,HISPANIC,race_1,race_2,race_3,race_4,race_6,race_8,race_98,race_99,race_100,RACENUM,NATIVITY,racethn,racethn2,CHILD,INT5,CE1,CE2,CIVICENGAGE,hhadults,PPD,state,INCOME,recincome,recincome2,recincome3,RECINCOME4,length,BIDENT1,BIDENT2,BIDENT3,BIDENT4,BIDENT5,sample,USERDATA,CREGION,cstate,density,USR_NEW,lang,Division,changesex,WAIVER,WEIGHT_PID_ADJ,MAGA_PARTY3,MAHA1_REC,RACE_other
2,complete,4/16/2026,4/16/2026,CAWI, , , ,New Mexico,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,71, ,70-74,65+,65+,65+,70-74,65+,50+,Not too worried,Not too worried,Not too worried,Somewhat worried,Very worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,"Eliminating prior authorization, where health insurance companies require prior approval before you can get services, tr",Neither,The Democrats,The Democrats,The Democrats,The Democrats,Neither,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Major impact,Minor impact,Major impact,Major impact,Minor impact,Major impact,They have a plan to address health care costs,About the right amount, ,Not enough regulation,Would still say there is not enough regulation,Not at all,A fair amount,Not much,Not at all,None at all,None at all,A little,"Major role, but not leading",Major cuts,No impact,Negative impact,Negative impact,Negative impact,About the same as previous elections,Democrat,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem, ,No, , , , , , , , , , , ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,1,2,No, ,"$40,000 to less than $50,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,752, , , , , ,Web,Prob panel Web,West,New Mexico,Lowest,Rural,English,Mountain,sex = rgender,2,1.1448,Dem/lean Dem,Not MAHA supporter, 
4,complete,4/15/2026,4/15/2026,CAWI, , , ,South Carolina,No/Maybe,No/Maybe,Republican governor,Voted for Donald Trump,PP Web,74, ,70-74,65+,65+,65+,70-74,65+,50+,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Yes,No impact at all,No impact at all,Minor impact,No impact at all,No impact at all,Minor impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would change my view,About the right amount, ,Not much,Not much,A fair amount,Not much,Some,Some,Some,Minor role,Minor cuts,No impact,No impact,No impact,No impact,About the same as previous elections,Republican,Independent,Neither/Other,Pure Independents,Independent/Don't lean, ,Yes,Vaccine and Medical Choice,Somewhat support,"Important, but not a top priority",A top priority,A top priority,A top priority,"Important, but not a top priority",3,Limiting corporate influence on U.S. food policy,Limiting corporate influence on U.S. food policy, ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Almost constantly, , ,1,2,No, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,424, , , , , ,Web,Prob panel Web,South,South Carolina,2,Suburban,English,South Atlantic,sex = rgender,2,1.5308,Pure independent,Weak MAHA supporter, 
6,complete,4/14/2026,4/14/2026,CAWI, , , ,Massachusetts,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,54, ,50-54,18-64,50-64,45-54,40-59,45-64,50+,Not too worried,Not too worried,Not too worried,Not too worried,Not too worried,Covered by health insurance,Plan (you/I) purchased (yourself/myself),Insured Less than 65,Self-purchased plan,Paying less out-of-pocket for health care,The Republicans,The Republicans,The Republicans,Both equally,The Republicans,The Republicans,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Yes,Minor impact,Major impact,Minor impact,Major impact,Major impact,Minor impact,They have a plan to address health care costs,About the right amount, ,Not enough regulation,Would still say there is not enough regulation,Not at all,Not much,A great deal,Not much,Some,Some,A lot,Minor role,Don't know enough to say,Positive impact,No impact,No impact,No impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Improving Nutrition Habits,Strongly support,A top priority,A top priority,A top priority,"Important, but not a top priority","Important, but not a top priority",3,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply,Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Almost constantly, , ,0,1,No, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,637, , , , , ,Web,Prob panel Web,Northeast,Massachusetts,4,Suburban,English,New England,sex = rgender,2,1.1493,MAGA Rep/leaner,Strong MAHA supporter, 
7,complete,4/16/2026,4/16/2026,CAWI, , , ,Utah,Yes,Yes - Republican Governor,Republican governor,Voted for Donald Trump,PP Web,80, ,75 or older,65+,65+,65+,75+,65+,50+,Not at all worried,Not too worried,Not too worried,Not too worried,Not at all worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Getting more value for what you spend on health care,Neither,Neither,The Republicans,The Republicans,The Republicans,The Republicans,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Yes,Minor impact,Minor impact,Major impact,Minor impact,Major impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,About the right amount, ,Not at all,Not at all,A fair amount,Not much,Some,Some,None at all,Minor role,Minor cuts,Positive impact,No impact,No impact,Negative impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Reducing Obesity Rates,Strongly support,A top priority,A top priority,"Important, but not a top priority",A top priority,A top priority,4,"Lowering the cost of health care, including prescription drugs","Lowering the cost of health care, including prescription drugs",Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Some postgraduate or professional school, no postgraduate degree",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,1,2,No, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,1273, , , , , ,Web,Prob panel Web,West,Utah,4,Suburban,English,Mountain,sex = rgender,1,1.4286,MAGA Rep/leaner,Strong MAHA supporter, 
8,complete,4/15/2026,4/15/2026,CAWI, , , ,New York,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,73, ,70-74,65+,65+,65+,70-74,65+,50+,Somewhat worried,Not too worried,Not too worried,Somewhat worried,Somewhat worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,Both equally,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Yes,Minor impact,Major impact,Minor impact,Minor impact,Major impact,Minor impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,A fair amount,Not at all,A little,A little,Some,Minor role,Major cuts,Positive impact,Positive impact,No impact,Positive impact,About the same as previous elections,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Health (unspecified),Strongly support,"Important, but not a top priority",A top priority,"Important, but not a top priority",A top priority,A top priority,3,Limiting corporate influence on U.S. food policy,Limiting corporate influence on U.S. food policy,Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,1,No, ,"$90,000 to less than $100,000",$90K+,$40K +,$90K +,Less than $100k,998, , , , , ,Web,Prob panel Web,Northeast,New York,Highest,Urban,English,Mid Atlantic,sex = rgender,2,.3908,MAGA Rep/leaner,Strong MAHA supporter, 
9,complete,4/15/2026,4/15/2026,CAWI, , , ,Massachusetts,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,78, ,75 or older,65+,65+,65+,75+,65+,50+,Not at all worried,Somewhat worried,Not too worried,Not too worried,Not too worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,"Eliminating prior authorization, where health insurance companies require prior approval before you can get services, tr",The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Yes,Major impact,Major impact,Major impact,Major impact,Major impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not much,Not much,Not much,A fair amount,Some,A little,None at all,"Major role, but not leading",Don't know enough to say,Positive impact,Positive impact,No impact,Positive impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Removing/Regulating Harmful Substances in Food,Strongly support,A top priority,A top priority,A top priority,A top priority,A top priority,5,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply,Support both equally,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Less than high school,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,2,No, ,"$40,000 to less than $50,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,1862, , , , , ,Web,Prob panel Web,Northeast,Massachusetts,4,Suburban,English,New England,sex = rgender,2,.4459,MAGA Rep/leaner,Strong MAHA supporter, 
10,complete,4/15/2026,4/15/2026,CAWI, , , ,California,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,74, ,70-74,65+,65+,65+,70-74,65+,50+,Not at all worried,Very worried,Very worried,Very worried,Somewhat worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,The Democrats,Neither,The Democrats,Neither,Neither,The Democrats,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Minor impact,Minor impact,Major impact,Minor impact,Minor impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,Not much,Not at all,None at all,None at all,A little,Minor role,Major cuts,No impact,Negative impact,Negative impact,Negative impact,Less enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,No, , , , , , , , , , , ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,2,Yes, ,"$200,000 or more",$90K+,$40K +,$90K +,$100k+,606, , , , , ,Web,Prob panel Web,West,California,3,Suburban,English,Pacific,sex = rgender,2,.3355,Dem/lean Dem,Not MAHA supporter, 
11,complete,4/16/2026,4/16/2026,CAWI, , , ,Maine,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,74, ,70-74,65+,65+,65+,70-74,65+,50+,Somewhat worried,Somewhat worried,Very worried,Very worried,Very worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,The Democrats,The Democrats,The Democrats,The Democrats,The Democrats,The Democrats,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Minor impact,Minor impact,Major impact,Major impact,No impact at all,Major impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,About the right amount, ,Not much,A fair amount,A great deal,Not much,A little,A lot,A lot,Leading role,Major cuts,Negative impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem, ,No, , , , , , , , , , , ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Almost constantly, , ,1,1,Yes, ,"Less than $20,000",Less than $40K,Less than $40K,Less than $90K,Less than $100k,1513, , , , , ,Web,Prob panel Web,Northeast,Maine,Lowest,Suburban,English,New England,sex = rgender,1,.2957,Dem/lean Dem,Not MAHA supporter, 
12,complete,4/15/2026,4/15/2026,CAWI, , , ,Delaware,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,68, ,65-69,65+,65+,65+,60-69,65+,50+,Not too worried,Not too worried,Not too worried,Not too worried,Not too worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,The Democrats,The Democrats,The Democrats,The Democrats,The Democrats,The Democrats,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Minor impact,Minor impact,Minor impact,Minor impact,Minor impact,Minor impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not much,A fair amount,Not at all,A little,A little,A lot,Leading role,Major cuts,No impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,No, , , , , , , , , , , ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,2,No, ,"$50,000 to less than $75,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,402, , , , , ,Web,Prob panel Web,South,Delaware,2,Rural,English,South Atlantic,sex = rgender,2,.9031,Dem/lean Dem,Not MAHA supporter, 
14,complete,4/15/2026,4/15/2026,CAWI, , , ,Massachusetts,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,32, ,30-34,18-64,30-49,25-34,18-39,30-44,18-49,Not too worried,Somewhat worried,Not too worried,Not too worried,Somewhat worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,"Having more choice of what doctors, specialists, and health care providers you can see",Neither,The Democrats,The Democrats,The Democrats,The Democrats,Neither,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Major impact,Minor impact,Major impact,Major impact,Minor impact,Major impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not much,Not much,A great deal,Not at all,None at all,None at all,None at all,"Major role, but not leading",Major cuts,No impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,No, , , , , , , , , , , ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Almost constantly, , ,0,2,No, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,315, , , , , ,Web,Prob panel Web,Northeast,Massachusetts,3,Suburban,English,New England,sex = rgender,2,.8966,Dem/lean Dem,Not MAHA supporter, 
